"","country","indicator","year","value","units"
"437","Seychelles","P.6.1 Whole-of-government biosafety and biosecurity system is in place for human, animal and agriculture facilities","2018","2",NA
"438","Seychelles","P.6.2 Biosafety and biosecurity training and practices","2018","2",NA
"439","Seychelles","P.7.2 National vaccine access and delivery","2018","5",NA
"440","Seychelles","D.1.1 Laboratory testing for detection of priority diseases","2018","4",NA
"441","Seychelles","D.1.2 Specimen referral and transport system","2018","5",NA
"442","Seychelles","D.1.4 Laboratory quality system","2018","2",NA
"443","Seychelles","D.3.1 System for e cient reporting to FAO, OIE and WHO","2018","2",NA
"444","Seychelles","D.3.2 Reporting network and protocols in country","2018","4",NA
"445","Seychelles","D.4.2 FETP1 or other applied epidemiology training programme in place (v1)/ D.4.4 FETP or other applied epidemiology training programme is in place (v2)","2018","3",NA
"446","Seychelles","D.4.3 Workforce strategy (v1)/ D.4.1 An up-to-date multisectoral workforce strategy is in place (v2)","2018","2",NA
"447","Seychelles","R.3.1 Public health and security authorities (e.g. law enforcement, border control, customs) are linked during a suspect or con rmed biological event (v1)/ R.3.1 Public health and security authorities (e.g. law enforcement, border control, customs) linked during a suspect or confirmed biological, chemical or radiological event","2018","2",NA
"448","Seychelles","R.5.2 Internal and partner communication and coordination (v1)/ R.5.2 Internal and partner coordination for emergency risk communication (v2)","2018","4",NA
"449","Seychelles","PoE.1 Routine capacities established at points of entry","2018","4",NA
"450","Seychelles","PoE.2 E ective public health response at points of entry","2018","1",NA
"451","Sierra Leone","P.4.3 Mechanisms for responding to infectious and potential zoonotic diseases are established and functional (v1) / P.4.2 Mechanisms for responding to infectious and potential zoonotic diseases established and functional (v2)","2016","1",NA
"452","Sierra Leone","P.6.1 Whole-of-government biosafety and biosecurity system is in place for human, animal and agriculture facilities","2016","1",NA
"453","Sierra Leone","P.6.2 Biosafety and biosecurity training and practices","2016","2",NA
"454","Sierra Leone","P.7.2 National vaccine access and delivery","2016","3",NA
"455","Sierra Leone","D.1.1 Laboratory testing for detection of priority diseases","2016","4 & 1",NA
"456","Sierra Leone","D.1.2 Specimen referral and transport system","2016","3 & 1",NA
"457","Sierra Leone","D.1.4 Laboratory quality system","2016","2 & 1",NA
"458","Sierra Leone","D.3.1 System for e cient reporting to FAO, OIE and WHO","2016","3",NA
"459","Sierra Leone","D.3.2 Reporting network and protocols in country","2016","2",NA
"460","Sierra Leone","D.4.2 FETP1 or other applied epidemiology training programme in place (v1)/ D.4.4 FETP or other applied epidemiology training programme is in place (v2)","2016","3",NA
"461","Sierra Leone","D.4.3 Workforce strategy (v1)/ D.4.1 An up-to-date multisectoral workforce strategy is in place (v2)","2016","2 & 1",NA
"462","Sierra Leone","R.3.1 Public health and security authorities (e.g. law enforcement, border control, customs) are linked during a suspect or con rmed biological event (v1)/ R.3.1 Public health and security authorities (e.g. law enforcement, border control, customs) linked during a suspect or confirmed biological, chemical or radiological event","2016","4",NA
"463","Sierra Leone","R.5.2 Internal and partner communication and coordination (v1)/ R.5.2 Internal and partner coordination for emergency risk communication (v2)","2016","4",NA
"464","Sierra Leone","PoE.1 Routine capacities established at points of entry","2016","2",NA
"465","Sierra Leone","PoE.2 E ective public health response at points of entry","2016","1",NA
"466","South Africa","P.4.3 Mechanisms for responding to infectious and potential zoonotic diseases are established and functional (v1) / P.4.2 Mechanisms for responding to infectious and potential zoonotic diseases established and functional (v2)","2017","4",NA
"467","South Africa","P.6.1 Whole-of-government biosafety and biosecurity system is in place for human, animal and agriculture facilities","2017","3",NA
"468","South Africa","P.6.2 Biosafety and biosecurity training and practices","2017","3",NA
"469","South Africa","P.7.2 National vaccine access and delivery","2017","5",NA
"470","South Africa","D.1.1 Laboratory testing for detection of priority diseases","2017","5",NA
"471","South Africa","D.1.2 Specimen referral and transport system","2017","4",NA
"472","South Africa","D.1.4 Laboratory quality system","2017","3",NA
"473","South Africa","D.3.1 System for e cient reporting to FAO, OIE and WHO","2017","3",NA
"474","South Africa","D.3.2 Reporting network and protocols in country","2017","3",NA
"475","South Africa","D.4.2 FETP1 or other applied epidemiology training programme in place (v1)/ D.4.4 FETP or other applied epidemiology training programme is in place (v2)","2017","4",NA
"476","South Africa","D.4.3 Workforce strategy (v1)/ D.4.1 An up-to-date multisectoral workforce strategy is in place (v2)","2017","2",NA
"477","South Africa","R.3.1 Public health and security authorities (e.g. law enforcement, border control, customs) are linked during a suspect or con rmed biological event (v1)/ R.3.1 Public health and security authorities (e.g. law enforcement, border control, customs) linked during a suspect or confirmed biological, chemical or radiological event","2017","4",NA
"478","South Africa","R.5.2 Internal and partner communication and coordination (v1)/ R.5.2 Internal and partner coordination for emergency risk communication (v2)","2017","3",NA
"479","South Africa","PoE.1 Routine capacities established at points of entry","2017","4",NA
"480","South Africa","PoE.2 E ective public health response at points of entry","2017","4",NA
"481","South Sudan","P.4.3 Mechanisms for responding to infectious and potential zoonotic diseases are established and functional (v1) / P.4.2 Mechanisms for responding to infectious and potential zoonotic diseases established and functional (v2)","2017","1",NA
"482","South Sudan","P.6.1 Whole-of-government biosafety and biosecurity system is in place for human, animal and agriculture facilities","2017","1",NA
"483","South Sudan","P.6.2 Biosafety and biosecurity training and practices","2017","1",NA
"484","South Sudan","P.7.2 National vaccine access and delivery","2017","3",NA
"485","South Sudan","D.1.1 Laboratory testing for detection of priority diseases","2017","2",NA
"486","South Sudan","D.1.2 Specimen referral and transport system","2017","1",NA
"487","South Sudan","D.1.4 Laboratory quality system","2017","1",NA
"488","South Sudan","D.3.1 System for e cient reporting to FAO, OIE and WHO","2017","3",NA
"489","South Sudan","D.3.2 Reporting network and protocols in country","2017","2",NA
"490","South Sudan","D.4.2 FETP1 or other applied epidemiology training programme in place (v1)/ D.4.4 FETP or other applied epidemiology training programme is in place (v2)","2017","1",NA
"491","South Sudan","D.4.3 Workforce strategy (v1)/ D.4.1 An up-to-date multisectoral workforce strategy is in place (v2)","2017","2",NA
"492","South Sudan","R.3.1 Public health and security authorities (e.g. law enforcement, border control, customs) are linked during a suspect or con rmed biological event (v1)/ R.3.1 Public health and security authorities (e.g. law enforcement, border control, customs) linked during a suspect or confirmed biological, chemical or radiological event","2017","1",NA
"493","South Sudan","R.5.2 Internal and partner communication and coordination (v1)/ R.5.2 Internal and partner coordination for emergency risk communication (v2)","2017","2",NA
"494","South Sudan","PoE.1 Routine capacities established at points of entry","2017","1",NA
"495","South Sudan","PoE.2 E ective public health response at points of entry","2017","1",NA
"496","Togo","P.4.3 Mechanisms for responding to infectious and potential zoonotic diseases are established and functional (v1) / P.4.2 Mechanisms for responding to infectious and potential zoonotic diseases established and functional (v2)","2018","2",NA
"497","Togo","P.6.1 Whole-of-government biosafety and biosecurity system is in place for human, animal and agriculture facilities","2018","2",NA
"498","Togo","P.6.2 Biosafety and biosecurity training and practices","2018","1",NA
"499","Togo","P.7.2 National vaccine access and delivery","2018","3",NA
"500","Togo","D.1.1 Laboratory testing for detection of priority diseases","2018","4",NA
"501","Togo","D.1.2 Specimen referral and transport system","2018","1",NA
"502","Togo","D.1.4 Laboratory quality system","2018","2",NA
"503","Togo","D.3.1 System for e cient reporting to FAO, OIE and WHO","2018","2",NA
"504","Togo","D.3.2 Reporting network and protocols in country","2018","2",NA
"505","Togo","D.4.2 FETP1 or other applied epidemiology training programme in place (v1)/ D.4.4 FETP or other applied epidemiology training programme is in place (v2)","2018","3",NA
"506","Togo","D.4.3 Workforce strategy (v1)/ D.4.1 An up-to-date multisectoral workforce strategy is in place (v2)","2018","2",NA
"507","Togo","R.3.1 Public health and security authorities (e.g. law enforcement, border control, customs) are linked during a suspect or con rmed biological event (v1)/ R.3.1 Public health and security authorities (e.g. law enforcement, border control, customs) linked during a suspect or confirmed biological, chemical or radiological event","2018","2",NA
"508","Togo","R.5.2 Internal and partner communication and coordination (v1)/ R.5.2 Internal and partner coordination for emergency risk communication (v2)","2018","2",NA
"509","Togo","PoE.1 Routine capacities established at points of entry","2018","2",NA
"510","Togo","PoE.2 E ective public health response at points of entry","2018","1",NA
"511","Uganda","P.4.3 Mechanisms for responding to infectious and potential zoonotic diseases are established and functional (v1) / P.4.2 Mechanisms for responding to infectious and potential zoonotic diseases established and functional (v2)","2017","2",NA
"512","Uganda","P.6.1 Whole-of-government biosafety and biosecurity system is in place for human, animal and agriculture facilities","2017","3",NA
"513","Uganda","P.6.2 Biosafety and biosecurity training and practices","2017","3",NA
"514","Uganda","P.7.2 National vaccine access and delivery","2017","4",NA
"515","Uganda","D.1.1 Laboratory testing for detection of priority diseases","2017","4",NA
"516","Uganda","D.1.2 Specimen referral and transport system","2017","3",NA
"517","Uganda","D.1.4 Laboratory quality system","2017","3",NA
"518","Uganda","D.3.1 System for e cient reporting to FAO, OIE and WHO","2017","3",NA
"519","Uganda","D.3.2 Reporting network and protocols in country","2017","3",NA
"520","Uganda","D.4.2 FETP1 or other applied epidemiology training programme in place (v1)/ D.4.4 FETP or other applied epidemiology training programme is in place (v2)","2017","4",NA
"521","Uganda","D.4.3 Workforce strategy (v1)/ D.4.1 An up-to-date multisectoral workforce strategy is in place (v2)","2017","3",NA
"522","Uganda","R.3.1 Public health and security authorities (e.g. law enforcement, border control, customs) are linked during a suspect or con rmed biological event (v1)/ R.3.1 Public health and security authorities (e.g. law enforcement, border control, customs) linked during a suspect or confirmed biological, chemical or radiological event","2017","2",NA
"523","Uganda","R.5.2 Internal and partner communication and coordination (v1)/ R.5.2 Internal and partner coordination for emergency risk communication (v2)","2017","4",NA
"524","Uganda","PoE.1 Routine capacities established at points of entry","2017","1",NA
"525","Uganda","PoE.2 E ective public health response at points of entry","2017","1",NA
"526","Zambia","P.4.3 Mechanisms for responding to infectious and potential zoonotic diseases are established and functional (v1) / P.4.2 Mechanisms for responding to infectious and potential zoonotic diseases established and functional (v2)","2017","1",NA
"527","Zambia","P.6.1 Whole-of-government biosafety and biosecurity system is in place for human, animal and agriculture facilities","2017","2",NA
"528","Zambia","P.6.2 Biosafety and biosecurity training and practices","2017","1",NA
"529","Zambia","P.7.2 National vaccine access and delivery","2017","4",NA
"530","Zambia","D.1.1 Laboratory testing for detection of priority diseases","2017","4",NA
"531","Zambia","D.1.2 Specimen referral and transport system","2017","2",NA
"532","Zambia","D.1.4 Laboratory quality system","2017","3",NA
"533","Zambia","D.3.1 System for e cient reporting to FAO, OIE and WHO","2017","2",NA
"534","Zambia","D.3.2 Reporting network and protocols in country","2017","2",NA
"535","Zambia","D.4.2 FETP1 or other applied epidemiology training programme in place (v1)/ D.4.4 FETP or other applied epidemiology training programme is in place (v2)","2017","3",NA
"536","Zambia","D.4.3 Workforce strategy (v1)/ D.4.1 An up-to-date multisectoral workforce strategy is in place (v2)","2017","2",NA
"537","Zambia","R.3.1 Public health and security authorities (e.g. law enforcement, border control, customs) are linked during a suspect or con rmed biological event (v1)/ R.3.1 Public health and security authorities (e.g. law enforcement, border control, customs) linked during a suspect or confirmed biological, chemical or radiological event","2017","1",NA
"538","Zambia","R.5.2 Internal and partner communication and coordination (v1)/ R.5.2 Internal and partner coordination for emergency risk communication (v2)","2017","3",NA
"539","Zambia","PoE.1 Routine capacities established at points of entry","2017","1",NA
"540","Zambia","PoE.2 E ective public health response at points of entry","2017","1",NA
"541","Zimbabwe","P.4.3 Mechanisms for responding to infectious and potential zoonotic diseases are established and functional (v1) / P.4.2 Mechanisms for responding to infectious and potential zoonotic diseases established and functional (v2)","2018","3",NA
"542","Zimbabwe","P.6.1 Whole-of-government biosafety and biosecurity system is in place for human, animal and agriculture facilities","2018","1",NA
"543","Zimbabwe","P.6.2 Biosafety and biosecurity training and practices","2018","1",NA
"544","Zimbabwe","P.7.2 National vaccine access and delivery","2018","4",NA
"545","Zimbabwe","D.1.1 Laboratory testing for detection of priority diseases","2018","4",NA
"546","Zimbabwe","D.1.2 Specimen referral and transport system","2018","4",NA
"547","Zimbabwe","D.1.4 Laboratory quality system","2018","2",NA
"548","Zimbabwe","D.3.1 System for e cient reporting to FAO, OIE and WHO","2018","3",NA
"549","Zimbabwe","D.3.2 Reporting network and protocols in country","2018","2",NA
"550","Zimbabwe","D.4.2 FETP1 or other applied epidemiology training programme in place (v1)/ D.4.4 FETP or other applied epidemiology training programme is in place (v2)","2018","3",NA
"551","Zimbabwe","D.4.3 Workforce strategy (v1)/ D.4.1 An up-to-date multisectoral workforce strategy is in place (v2)","2018","3",NA
"552","Zimbabwe","R.3.1 Public health and security authorities (e.g. law enforcement, border control, customs) are linked during a suspect or con rmed biological event (v1)/ R.3.1 Public health and security authorities (e.g. law enforcement, border control, customs) linked during a suspect or confirmed biological, chemical or radiological event","2018","1",NA
"553","Zimbabwe","R.5.2 Internal and partner communication and coordination (v1)/ R.5.2 Internal and partner coordination for emergency risk communication (v2)","2018","2",NA
"554","Zimbabwe","PoE.1 Routine capacities established at points of entry","2018","2",NA
"555","Zimbabwe","PoE.2 E ective public health response at points of entry","2018","1",NA
"556","Libya","P.4.3 Mechanisms for responding to infectious and potential zoonotic diseases are established and functional (v1) / P.4.2 Mechanisms for responding to infectious and potential zoonotic diseases established and functional (v2)","2018","3",NA
"557","Libya","P.6.1 Whole-of-government biosafety and biosecurity system is in place for human, animal and agriculture facilities","2018","2",NA
"558","Libya","P.6.2 Biosafety and biosecurity training and practices","2018","2",NA
"559","Libya","P.7.2 National vaccine access and delivery","2018","3",NA
"560","Libya","D.1.1 Laboratory testing for detection of priority diseases","2018","4",NA
"561","Libya","D.1.2 Specimen referral and transport system","2018","4",NA
"562","Libya","D.1.4 Laboratory quality system","2018","1",NA
"563","Libya","D.3.1 System for e cient reporting to FAO, OIE and WHO","2018","3",NA
"564","Libya","D.3.2 Reporting network and protocols in country","2018","2",NA
"565","Libya","D.4.2 FETP1 or other applied epidemiology training programme in place (v1)/ D.4.4 FETP or other applied epidemiology training programme is in place (v2)","2018","2",NA
"566","Libya","D.4.3 Workforce strategy (v1)/ D.4.1 An up-to-date multisectoral workforce strategy is in place (v2)","2018","2",NA
"567","Libya","R.3.1 Public health and security authorities (e.g. law enforcement, border control, customs) are linked during a suspect or con rmed biological event (v1)/ R.3.1 Public health and security authorities (e.g. law enforcement, border control, customs) linked during a suspect or confirmed biological, chemical or radiological event","2018","2",NA
"568","Libya","R.5.2 Internal and partner communication and coordination (v1)/ R.5.2 Internal and partner coordination for emergency risk communication (v2)","2018","3",NA
"569","Libya","PoE.1 Routine capacities established at points of entry","2018","2",NA
"570","Libya","PoE.2 E ective public health response at points of entry","2018","1",NA
"571","Morocco","P.4.3 Mechanisms for responding to infectious and potential zoonotic diseases are established and functional (v1) / P.4.2 Mechanisms for responding to infectious and potential zoonotic diseases established and functional (v2)","2016","3",NA
"572","Morocco","P.6.1 Whole-of-government biosafety and biosecurity system is in place for human, animal and agriculture facilities","2016","2",NA
"573","Morocco","P.6.2 Biosafety and biosecurity training and practices","2016","2",NA
"574","Morocco","P.7.2 National vaccine access and delivery","2016","5",NA
"575","Morocco","D.1.1 Laboratory testing for detection of priority diseases","2016","4",NA
"576","Morocco","D.1.2 Specimen referral and transport system","2016","4",NA
"577","Morocco","D.1.4 Laboratory quality system","2016","3",NA
"578","Morocco","D.3.1 System for e cient reporting to FAO, OIE and WHO","2016","4",NA
"579","Morocco","D.3.2 Reporting network and protocols in country","2016","4",NA
"580","Morocco","D.4.2 FETP1 or other applied epidemiology training programme in place (v1)/ D.4.4 FETP or other applied epidemiology training programme is in place (v2)","2016","3",NA
"581","Morocco","D.4.3 Workforce strategy (v1)/ D.4.1 An up-to-date multisectoral workforce strategy is in place (v2)","2016","4",NA
"582","Morocco","R.3.1 Public health and security authorities (e.g. law enforcement, border control, customs) are linked during a suspect or con rmed biological event (v1)/ R.3.1 Public health and security authorities (e.g. law enforcement, border control, customs) linked during a suspect or confirmed biological, chemical or radiological event","2016","4",NA
"583","Morocco","R.5.2 Internal and partner communication and coordination (v1)/ R.5.2 Internal and partner coordination for emergency risk communication (v2)","2016","4",NA
"584","Morocco","PoE.1 Routine capacities established at points of entry","2016","3",NA
"585","Morocco","PoE.2 E ective public health response at points of entry","2016","3",NA
"586","Somalia","P.4.3 Mechanisms for responding to infectious and potential zoonotic diseases are established and functional (v1) / P.4.2 Mechanisms for responding to infectious and potential zoonotic diseases established and functional (v2)","2016","1",NA
"587","Somalia","P.6.1 Whole-of-government biosafety and biosecurity system is in place for human, animal and agriculture facilities","2016","1",NA
"588","Somalia","P.6.2 Biosafety and biosecurity training and practices","2016","1",NA
"589","Somalia","P.7.2 National vaccine access and delivery","2016","2",NA
"590","Somalia","D.1.1 Laboratory testing for detection of priority diseases","2016","3",NA
"591","Somalia","D.1.2 Specimen referral and transport system","2016","2",NA
"592","Somalia","D.1.4 Laboratory quality system","2016","2",NA
"593","Somalia","D.3.1 System for e cient reporting to FAO, OIE and WHO","2016","2",NA
"594","Somalia","D.3.2 Reporting network and protocols in country","2016","1",NA
"595","Somalia","D.4.2 FETP1 or other applied epidemiology training programme in place (v1)/ D.4.4 FETP or other applied epidemiology training programme is in place (v2)","2016","1",NA
"596","Somalia","D.4.3 Workforce strategy (v1)/ D.4.1 An up-to-date multisectoral workforce strategy is in place (v2)","2016","2",NA
"597","Somalia","R.3.1 Public health and security authorities (e.g. law enforcement, border control, customs) are linked during a suspect or con rmed biological event (v1)/ R.3.1 Public health and security authorities (e.g. law enforcement, border control, customs) linked during a suspect or confirmed biological, chemical or radiological event","2016","2",NA
"598","Somalia","R.5.2 Internal and partner communication and coordination (v1)/ R.5.2 Internal and partner coordination for emergency risk communication (v2)","2016","3",NA
"599","Somalia","PoE.1 Routine capacities established at points of entry","2016","1",NA
"600","Somalia","PoE.2 E ective public health response at points of entry","2016","1",NA
"601","Tanzania","P.4.3 Mechanisms for responding to infectious and potential zoonotic diseases are established and functional (v1) / P.4.2 Mechanisms for responding to infectious and potential zoonotic diseases established and functional (v2)","2016","3",NA
"602","Tanzania","P.6.1 Whole-of-government biosafety and biosecurity system is in place for human, animal and agriculture facilities","2016","2",NA
"603","Tanzania","P.6.2 Biosafety and biosecurity training and practices","2016","3",NA
"604","Tanzania","P.7.2 National vaccine access and delivery","2016","4",NA
"605","Tanzania","D.1.1 Laboratory testing for detection of priority diseases","2016","3",NA
"606","Tanzania","D.1.2 Specimen referral and transport system","2016","2",NA
"607","Tanzania","D.1.4 Laboratory quality system","2016","3",NA
"608","Tanzania","D.3.1 System for e cient reporting to FAO, OIE and WHO","2016","2",NA
"609","Tanzania","D.3.2 Reporting network and protocols in country","2016","2",NA
"610","Tanzania","D.4.2 FETP1 or other applied epidemiology training programme in place (v1)/ D.4.4 FETP or other applied epidemiology training programme is in place (v2)","2016","1",NA
"611","Tanzania","D.4.3 Workforce strategy (v1)/ D.4.1 An up-to-date multisectoral workforce strategy is in place (v2)","2016","1",NA
"612","Tanzania","R.3.1 Public health and security authorities (e.g. law enforcement, border control, customs) are linked during a suspect or con rmed biological event (v1)/ R.3.1 Public health and security authorities (e.g. law enforcement, border control, customs) linked during a suspect or confirmed biological, chemical or radiological event","2016","2",NA
"613","Tanzania","R.5.2 Internal and partner communication and coordination (v1)/ R.5.2 Internal and partner coordination for emergency risk communication (v2)","2016","2",NA
"614","Tanzania","PoE.1 Routine capacities established at points of entry","2016","2",NA
"615","Tanzania","PoE.2 E ective public health response at points of entry","2016","2",NA
"616","Tunisia","P.4.3 Mechanisms for responding to infectious and potential zoonotic diseases are established and functional (v1) / P.4.2 Mechanisms for responding to infectious and potential zoonotic diseases established and functional (v2)","2016","3",NA
"617","Tunisia","P.6.1 Whole-of-government biosafety and biosecurity system is in place for human, animal and agriculture facilities","2016","2",NA
"618","Tunisia","P.6.2 Biosafety and biosecurity training and practices","2016","2",NA
"619","Tunisia","P.7.2 National vaccine access and delivery","2016","5",NA
"620","Tunisia","D.1.1 Laboratory testing for detection of priority diseases","2016","4",NA
"621","Tunisia","D.1.2 Specimen referral and transport system","2016","4",NA
"622","Tunisia","D.1.4 Laboratory quality system","2016","3",NA
"623","Tunisia","D.3.1 System for e cient reporting to FAO, OIE and WHO","2016","3",NA
"624","Tunisia","D.3.2 Reporting network and protocols in country","2016","3",NA
"625","Tunisia","D.4.2 FETP1 or other applied epidemiology training programme in place (v1)/ D.4.4 FETP or other applied epidemiology training programme is in place (v2)","2016","4",NA
"626","Tunisia","D.4.3 Workforce strategy (v1)/ D.4.1 An up-to-date multisectoral workforce strategy is in place (v2)","2016","3",NA
"627","Tunisia","R.3.1 Public health and security authorities (e.g. law enforcement, border control, customs) are linked during a suspect or con rmed biological event (v1)/ R.3.1 Public health and security authorities (e.g. law enforcement, border control, customs) linked during a suspect or confirmed biological, chemical or radiological event","2016","4",NA
"628","Tunisia","R.5.2 Internal and partner communication and coordination (v1)/ R.5.2 Internal and partner coordination for emergency risk communication (v2)","2016","3",NA
"629","Tunisia","PoE.1 Routine capacities established at points of entry","2016","4",NA
"630","Tunisia","PoE.2 E ective public health response at points of entry","2016","1",NA
"631","Sudan","P.4.3 Mechanisms for responding to infectious and potential zoonotic diseases are established and functional (v1) / P.4.2 Mechanisms for responding to infectious and potential zoonotic diseases established and functional (v2)","2016","4",NA
"632","Sudan","P.6.1 Whole-of-government biosafety and biosecurity system is in place for human, animal and agriculture facilities","2016","2",NA
"633","Sudan","P.6.2 Biosafety and biosecurity training and practices","2016","2",NA
"634","Sudan","P.7.2 National vaccine access and delivery","2016","5",NA
"635","Sudan","D.1.1 Laboratory testing for detection of priority diseases","2016","4",NA
"636","Sudan","D.1.2 Specimen referral and transport system","2016","3",NA
"637","Sudan","D.1.4 Laboratory quality system","2016","2",NA
"638","Sudan","D.3.1 System for e cient reporting to FAO, OIE and WHO","2016","2",NA
"639","Sudan","D.3.2 Reporting network and protocols in country","2016","3",NA
"640","Sudan","D.4.2 FETP1 or other applied epidemiology training programme in place (v1)/ D.4.4 FETP or other applied epidemiology training programme is in place (v2)","2016","2",NA
"641","Sudan","D.4.3 Workforce strategy (v1)/ D.4.1 An up-to-date multisectoral workforce strategy is in place (v2)","2016","2",NA
"642","Sudan","R.3.1 Public health and security authorities (e.g. law enforcement, border control, customs) are linked during a suspect or con rmed biological event (v1)/ R.3.1 Public health and security authorities (e.g. law enforcement, border control, customs) linked during a suspect or confirmed biological, chemical or radiological event","2016","5",NA
"643","Sudan","R.5.2 Internal and partner communication and coordination (v1)/ R.5.2 Internal and partner coordination for emergency risk communication (v2)","2016","3",NA
"644","Sudan","PoE.1 Routine capacities established at points of entry","2016","3",NA
"645","Sudan","PoE.2 E ective public health response at points of entry","2016","2",NA
"646","Cabo Verde","P.4.3 Mechanisms for responding to infectious and potential zoonotic diseases are established and functional (v1) / P.4.2 Mechanisms for responding to infectious and potential zoonotic diseases established and functional (v2)","2019","2",NA
"647","Cabo Verde","P.6.1 Whole-of-government biosafety and biosecurity system is in place for human, animal and agriculture facilities","2019","1",NA
"648","Cabo Verde","P.6.2 Biosafety and biosecurity training and practices","2019","2",NA
"649","Cabo Verde","P.7.2 National vaccine access and delivery","2019","5",NA
"650","Cabo Verde","D.1.1 Laboratory testing for detection of priority diseases","2019","3",NA
"651","Cabo Verde","D.1.2 Specimen referral and transport system","2019","3",NA
"652","Cabo Verde","D.1.4 Laboratory quality system","2019","3",NA
"653","Cabo Verde","D.3.1 System for e cient reporting to FAO, OIE and WHO","2019","3",NA
"654","Cabo Verde","D.3.2 Reporting network and protocols in country","2019","3",NA
"655","Cabo Verde","D.4.2 FETP1 or other applied epidemiology training programme in place (v1)/ D.4.4 FETP or other applied epidemiology training programme is in place (v2)","2019","1",NA
"656","Cabo Verde","D.4.3 Workforce strategy (v1)/ D.4.1 An up-to-date multisectoral workforce strategy is in place (v2)","2019","2",NA
"657","Cabo Verde","R.3.1 Public health and security authorities (e.g. law enforcement, border control, customs) are linked during a suspect or con rmed biological event (v1)/ R.3.1 Public health and security authorities (e.g. law enforcement, border control, customs) linked during a suspect or confirmed biological, chemical or radiological event","2019","2",NA
"658","Cabo Verde","R.5.2 Internal and partner communication and coordination (v1)/ R.5.2 Internal and partner coordination for emergency risk communication (v2)","2019","2",NA
"659","Cabo Verde","PoE.1 Routine capacities established at points of entry","2019","2",NA
"660","Cabo Verde","PoE.2 E ective public health response at points of entry","2019","1",NA
"661","Central African Republic","P.4.3 Mechanisms for responding to infectious and potential zoonotic diseases are established and functional (v1) / P.4.2 Mechanisms for responding to infectious and potential zoonotic diseases established and functional (v2)","2019","1",NA
"662","Central African Republic","P.6.1 Whole-of-government biosafety and biosecurity system is in place for human, animal and agriculture facilities","2019","2",NA
"663","Central African Republic","P.6.2 Biosafety and biosecurity training and practices","2019","1",NA
"664","Central African Republic","P.7.2 National vaccine access and delivery","2019","3",NA
"665","Central African Republic","D.1.1 Laboratory testing for detection of priority diseases","2019","1",NA
"666","Central African Republic","D.1.2 Specimen referral and transport system","2019","1",NA
"667","Central African Republic","D.1.4 Laboratory quality system","2019","1",NA
"668","Central African Republic","D.3.1 System for e cient reporting to FAO, OIE and WHO","2019","2",NA
"669","Central African Republic","D.3.2 Reporting network and protocols in country","2019","1",NA
"670","Central African Republic","D.4.2 FETP1 or other applied epidemiology training programme in place (v1)/ D.4.4 FETP or other applied epidemiology training programme is in place (v2)","2019","2",NA
"671","Central African Republic","D.4.3 Workforce strategy (v1)/ D.4.1 An up-to-date multisectoral workforce strategy is in place (v2)","2019","1",NA
"672","Central African Republic","R.3.1 Public health and security authorities (e.g. law enforcement, border control, customs) are linked during a suspect or con rmed biological event (v1)/ R.3.1 Public health and security authorities (e.g. law enforcement, border control, customs) linked during a suspect or confirmed biological, chemical or radiological event","2019","1",NA
"673","Central African Republic","R.5.2 Internal and partner communication and coordination (v1)/ R.5.2 Internal and partner coordination for emergency risk communication (v2)","2019","1",NA
"674","Central African Republic","PoE.1 Routine capacities established at points of entry","2019","1",NA
"675","Central African Republic","PoE.2 E ective public health response at points of entry","2019","1",NA
"676","Congo","P.4.3 Mechanisms for responding to infectious and potential zoonotic diseases are established and functional (v1) / P.4.2 Mechanisms for responding to infectious and potential zoonotic diseases established and functional (v2)","2019","1",NA
"677","Congo","P.6.1 Whole-of-government biosafety and biosecurity system is in place for human, animal and agriculture facilities","2019","1",NA
"678","Congo","P.6.2 Biosafety and biosecurity training and practices","2019","2",NA
"679","Congo","P.7.2 National vaccine access and delivery","2019","4",NA
"680","Congo","D.1.1 Laboratory testing for detection of priority diseases","2019","1",NA
"681","Congo","D.1.2 Specimen referral and transport system","2019","1",NA
"682","Congo","D.1.4 Laboratory quality system","2019","1",NA
"683","Congo","D.3.1 System for e cient reporting to FAO, OIE and WHO","2019","3",NA
"684","Congo","D.3.2 Reporting network and protocols in country","2019","2",NA
"685","Congo","D.4.2 FETP1 or other applied epidemiology training programme in place (v1)/ D.4.4 FETP or other applied epidemiology training programme is in place (v2)","2019","1",NA
"686","Congo","D.4.3 Workforce strategy (v1)/ D.4.1 An up-to-date multisectoral workforce strategy is in place (v2)","2019","2",NA
"687","Congo","R.3.1 Public health and security authorities (e.g. law enforcement, border control, customs) are linked during a suspect or con rmed biological event (v1)/ R.3.1 Public health and security authorities (e.g. law enforcement, border control, customs) linked during a suspect or confirmed biological, chemical or radiological event","2019","1",NA
"688","Congo","R.5.2 Internal and partner communication and coordination (v1)/ R.5.2 Internal and partner coordination for emergency risk communication (v2)","2019","2",NA
"689","Congo","PoE.1 Routine capacities established at points of entry","2019","1",NA
"690","Congo","PoE.2 E ective public health response at points of entry","2019","1",NA
"691","Gabon","P.4.3 Mechanisms for responding to infectious and potential zoonotic diseases are established and functional (v1) / P.4.2 Mechanisms for responding to infectious and potential zoonotic diseases established and functional (v2)","2019","1",NA
"692","Gabon","P.6.1 Whole-of-government biosafety and biosecurity system is in place for human, animal and agriculture facilities","2019","1",NA
