"country","indicator","year","value","units"
"Sierra Leone","D.4.2 FETP1 or other applied epidemiology training programme in place (v1)/ D.4.4 FETP or other applied epidemiology training programme is in place (v2)","2016","3",NA
"Sierra Leone","D.4.3 Workforce strategy (v1)/ D.4.1 An up-to-date multisectoral workforce strategy is in place (v2)","2016","2 & 1",NA
"Sierra Leone","R.3.1 Public health and security authorities (e.g. law enforcement, border control, customs) are linked during a suspect or con rmed biological event (v1)/ R.3.1 Public health and security authorities (e.g. law enforcement, border control, customs) linked during a suspect or confirmed biological, chemical or radiological event","2016","4",NA
"Sierra Leone","R.5.2 Internal and partner communication and coordination (v1)/ R.5.2 Internal and partner coordination for emergency risk communication (v2)","2016","4",NA
"Sierra Leone","PoE.1 Routine capacities established at points of entry","2016","2",NA
"Sierra Leone","PoE.2 E ective public health response at points of entry","2016","1",NA
"South Africa","P.4.3 Mechanisms for responding to infectious and potential zoonotic diseases are established and functional (v1) / P.4.2 Mechanisms for responding to infectious and potential zoonotic diseases established and functional (v2)","2017","4",NA
"South Africa","P.6.1 Whole-of-government biosafety and biosecurity system is in place for human, animal and agriculture facilities","2017","3",NA
"South Africa","P.6.2 Biosafety and biosecurity training and practices","2017","3",NA
"South Africa","P.7.2 National vaccine access and delivery","2017","5",NA
"South Africa","D.1.1 Laboratory testing for detection of priority diseases","2017","5",NA
"South Africa","D.1.2 Specimen referral and transport system","2017","4",NA
"South Africa","D.1.4 Laboratory quality system","2017","3",NA
"South Africa","D.3.1 System for e cient reporting to FAO, OIE and WHO","2017","3",NA
"South Africa","D.3.2 Reporting network and protocols in country","2017","3",NA
"South Africa","D.4.2 FETP1 or other applied epidemiology training programme in place (v1)/ D.4.4 FETP or other applied epidemiology training programme is in place (v2)","2017","4",NA
"South Africa","D.4.3 Workforce strategy (v1)/ D.4.1 An up-to-date multisectoral workforce strategy is in place (v2)","2017","2",NA
"South Africa","R.3.1 Public health and security authorities (e.g. law enforcement, border control, customs) are linked during a suspect or con rmed biological event (v1)/ R.3.1 Public health and security authorities (e.g. law enforcement, border control, customs) linked during a suspect or confirmed biological, chemical or radiological event","2017","4",NA
"South Africa","R.5.2 Internal and partner communication and coordination (v1)/ R.5.2 Internal and partner coordination for emergency risk communication (v2)","2017","3",NA
"South Africa","PoE.1 Routine capacities established at points of entry","2017","4",NA
"South Africa","PoE.2 E ective public health response at points of entry","2017","4",NA
"South Sudan","P.4.3 Mechanisms for responding to infectious and potential zoonotic diseases are established and functional (v1) / P.4.2 Mechanisms for responding to infectious and potential zoonotic diseases established and functional (v2)","2017","1",NA
"South Sudan","P.6.1 Whole-of-government biosafety and biosecurity system is in place for human, animal and agriculture facilities","2017","1",NA
"South Sudan","P.6.2 Biosafety and biosecurity training and practices","2017","1",NA
"South Sudan","P.7.2 National vaccine access and delivery","2017","3",NA
"South Sudan","D.1.1 Laboratory testing for detection of priority diseases","2017","2",NA
"South Sudan","D.1.2 Specimen referral and transport system","2017","1",NA
"South Sudan","D.1.4 Laboratory quality system","2017","1",NA
"South Sudan","D.3.1 System for e cient reporting to FAO, OIE and WHO","2017","3",NA
"South Sudan","D.3.2 Reporting network and protocols in country","2017","2",NA
"South Sudan","D.4.2 FETP1 or other applied epidemiology training programme in place (v1)/ D.4.4 FETP or other applied epidemiology training programme is in place (v2)","2017","1",NA
"South Sudan","D.4.3 Workforce strategy (v1)/ D.4.1 An up-to-date multisectoral workforce strategy is in place (v2)","2017","2",NA
"South Sudan","R.3.1 Public health and security authorities (e.g. law enforcement, border control, customs) are linked during a suspect or con rmed biological event (v1)/ R.3.1 Public health and security authorities (e.g. law enforcement, border control, customs) linked during a suspect or confirmed biological, chemical or radiological event","2017","1",NA
"South Sudan","R.5.2 Internal and partner communication and coordination (v1)/ R.5.2 Internal and partner coordination for emergency risk communication (v2)","2017","2",NA
"South Sudan","PoE.1 Routine capacities established at points of entry","2017","1",NA
"South Sudan","PoE.2 E ective public health response at points of entry","2017","1",NA
"Togo","P.4.3 Mechanisms for responding to infectious and potential zoonotic diseases are established and functional (v1) / P.4.2 Mechanisms for responding to infectious and potential zoonotic diseases established and functional (v2)","2018","2",NA
"Togo","P.6.1 Whole-of-government biosafety and biosecurity system is in place for human, animal and agriculture facilities","2018","2",NA
"Togo","P.6.2 Biosafety and biosecurity training and practices","2018","1",NA
"Togo","P.7.2 National vaccine access and delivery","2018","3",NA
"Togo","D.1.1 Laboratory testing for detection of priority diseases","2018","4",NA
"Togo","D.1.2 Specimen referral and transport system","2018","1",NA
"Togo","D.1.4 Laboratory quality system","2018","2",NA
"Togo","D.3.1 System for e cient reporting to FAO, OIE and WHO","2018","2",NA
"Togo","D.3.2 Reporting network and protocols in country","2018","2",NA
"Togo","D.4.2 FETP1 or other applied epidemiology training programme in place (v1)/ D.4.4 FETP or other applied epidemiology training programme is in place (v2)","2018","3",NA
"Togo","D.4.3 Workforce strategy (v1)/ D.4.1 An up-to-date multisectoral workforce strategy is in place (v2)","2018","2",NA
"Togo","R.3.1 Public health and security authorities (e.g. law enforcement, border control, customs) are linked during a suspect or con rmed biological event (v1)/ R.3.1 Public health and security authorities (e.g. law enforcement, border control, customs) linked during a suspect or confirmed biological, chemical or radiological event","2018","2",NA
"Togo","R.5.2 Internal and partner communication and coordination (v1)/ R.5.2 Internal and partner coordination for emergency risk communication (v2)","2018","2",NA
"Togo","PoE.1 Routine capacities established at points of entry","2018","2",NA
"Togo","PoE.2 E ective public health response at points of entry","2018","1",NA
"Uganda","P.4.3 Mechanisms for responding to infectious and potential zoonotic diseases are established and functional (v1) / P.4.2 Mechanisms for responding to infectious and potential zoonotic diseases established and functional (v2)","2017","2",NA
"Uganda","P.6.1 Whole-of-government biosafety and biosecurity system is in place for human, animal and agriculture facilities","2017","3",NA
"Uganda","P.6.2 Biosafety and biosecurity training and practices","2017","3",NA
"Uganda","P.7.2 National vaccine access and delivery","2017","4",NA
"Uganda","D.1.1 Laboratory testing for detection of priority diseases","2017","4",NA
"Uganda","D.1.2 Specimen referral and transport system","2017","3",NA
"Uganda","D.1.4 Laboratory quality system","2017","3",NA
"Uganda","D.3.1 System for e cient reporting to FAO, OIE and WHO","2017","3",NA
"Uganda","D.3.2 Reporting network and protocols in country","2017","3",NA
"Uganda","D.4.2 FETP1 or other applied epidemiology training programme in place (v1)/ D.4.4 FETP or other applied epidemiology training programme is in place (v2)","2017","4",NA
"Uganda","D.4.3 Workforce strategy (v1)/ D.4.1 An up-to-date multisectoral workforce strategy is in place (v2)","2017","3",NA
"Uganda","R.3.1 Public health and security authorities (e.g. law enforcement, border control, customs) are linked during a suspect or con rmed biological event (v1)/ R.3.1 Public health and security authorities (e.g. law enforcement, border control, customs) linked during a suspect or confirmed biological, chemical or radiological event","2017","2",NA
"Uganda","R.5.2 Internal and partner communication and coordination (v1)/ R.5.2 Internal and partner coordination for emergency risk communication (v2)","2017","4",NA
"Uganda","PoE.1 Routine capacities established at points of entry","2017","1",NA
"Uganda","PoE.2 E ective public health response at points of entry","2017","1",NA
"Zambia","P.4.3 Mechanisms for responding to infectious and potential zoonotic diseases are established and functional (v1) / P.4.2 Mechanisms for responding to infectious and potential zoonotic diseases established and functional (v2)","2017","1",NA
"Zambia","P.6.1 Whole-of-government biosafety and biosecurity system is in place for human, animal and agriculture facilities","2017","2",NA
"Zambia","P.6.2 Biosafety and biosecurity training and practices","2017","1",NA
"Zambia","P.7.2 National vaccine access and delivery","2017","4",NA
"Zambia","D.1.1 Laboratory testing for detection of priority diseases","2017","4",NA
"Zambia","D.1.2 Specimen referral and transport system","2017","2",NA
"Zambia","D.1.4 Laboratory quality system","2017","3",NA
"Zambia","D.3.1 System for e cient reporting to FAO, OIE and WHO","2017","2",NA
"Zambia","D.3.2 Reporting network and protocols in country","2017","2",NA
"Zambia","D.4.2 FETP1 or other applied epidemiology training programme in place (v1)/ D.4.4 FETP or other applied epidemiology training programme is in place (v2)","2017","3",NA
"Zambia","D.4.3 Workforce strategy (v1)/ D.4.1 An up-to-date multisectoral workforce strategy is in place (v2)","2017","2",NA
"Zambia","R.3.1 Public health and security authorities (e.g. law enforcement, border control, customs) are linked during a suspect or con rmed biological event (v1)/ R.3.1 Public health and security authorities (e.g. law enforcement, border control, customs) linked during a suspect or confirmed biological, chemical or radiological event","2017","1",NA
"Zambia","R.5.2 Internal and partner communication and coordination (v1)/ R.5.2 Internal and partner coordination for emergency risk communication (v2)","2017","3",NA
"Zambia","PoE.1 Routine capacities established at points of entry","2017","1",NA
"Zambia","PoE.2 E ective public health response at points of entry","2017","1",NA
"Zimbabwe","P.4.3 Mechanisms for responding to infectious and potential zoonotic diseases are established and functional (v1) / P.4.2 Mechanisms for responding to infectious and potential zoonotic diseases established and functional (v2)","2018","3",NA
"Zimbabwe","P.6.1 Whole-of-government biosafety and biosecurity system is in place for human, animal and agriculture facilities","2018","1",NA
"Zimbabwe","P.6.2 Biosafety and biosecurity training and practices","2018","1",NA
"Zimbabwe","P.7.2 National vaccine access and delivery","2018","4",NA
"Zimbabwe","D.1.1 Laboratory testing for detection of priority diseases","2018","4",NA
"Zimbabwe","D.1.2 Specimen referral and transport system","2018","4",NA
"Zimbabwe","D.1.4 Laboratory quality system","2018","2",NA
"Zimbabwe","D.3.1 System for e cient reporting to FAO, OIE and WHO","2018","3",NA
"Zimbabwe","D.3.2 Reporting network and protocols in country","2018","2",NA
"Zimbabwe","D.4.2 FETP1 or other applied epidemiology training programme in place (v1)/ D.4.4 FETP or other applied epidemiology training programme is in place (v2)","2018","3",NA
"Zimbabwe","D.4.3 Workforce strategy (v1)/ D.4.1 An up-to-date multisectoral workforce strategy is in place (v2)","2018","3",NA
"Zimbabwe","R.3.1 Public health and security authorities (e.g. law enforcement, border control, customs) are linked during a suspect or con rmed biological event (v1)/ R.3.1 Public health and security authorities (e.g. law enforcement, border control, customs) linked during a suspect or confirmed biological, chemical or radiological event","2018","1",NA
"Zimbabwe","R.5.2 Internal and partner communication and coordination (v1)/ R.5.2 Internal and partner coordination for emergency risk communication (v2)","2018","2",NA
"Zimbabwe","PoE.1 Routine capacities established at points of entry","2018","2",NA
"Zimbabwe","PoE.2 E ective public health response at points of entry","2018","1",NA
"Libya","P.4.3 Mechanisms for responding to infectious and potential zoonotic diseases are established and functional (v1) / P.4.2 Mechanisms for responding to infectious and potential zoonotic diseases established and functional (v2)","2018","3",NA
"Libya","P.6.1 Whole-of-government biosafety and biosecurity system is in place for human, animal and agriculture facilities","2018","2",NA
"Libya","P.6.2 Biosafety and biosecurity training and practices","2018","2",NA
"Libya","P.7.2 National vaccine access and delivery","2018","3",NA
"Libya","D.1.1 Laboratory testing for detection of priority diseases","2018","4",NA
"Libya","D.1.2 Specimen referral and transport system","2018","4",NA
"Libya","D.1.4 Laboratory quality system","2018","1",NA
"Libya","D.3.1 System for e cient reporting to FAO, OIE and WHO","2018","3",NA
"Libya","D.3.2 Reporting network and protocols in country","2018","2",NA
"Libya","D.4.2 FETP1 or other applied epidemiology training programme in place (v1)/ D.4.4 FETP or other applied epidemiology training programme is in place (v2)","2018","2",NA
"Libya","D.4.3 Workforce strategy (v1)/ D.4.1 An up-to-date multisectoral workforce strategy is in place (v2)","2018","2",NA
"Libya","R.3.1 Public health and security authorities (e.g. law enforcement, border control, customs) are linked during a suspect or con rmed biological event (v1)/ R.3.1 Public health and security authorities (e.g. law enforcement, border control, customs) linked during a suspect or confirmed biological, chemical or radiological event","2018","2",NA
"Libya","R.5.2 Internal and partner communication and coordination (v1)/ R.5.2 Internal and partner coordination for emergency risk communication (v2)","2018","3",NA
"Libya","PoE.1 Routine capacities established at points of entry","2018","2",NA
"Libya","PoE.2 E ective public health response at points of entry","2018","1",NA
"Morocco","P.4.3 Mechanisms for responding to infectious and potential zoonotic diseases are established and functional (v1) / P.4.2 Mechanisms for responding to infectious and potential zoonotic diseases established and functional (v2)","2016","3",NA
"Morocco","P.6.1 Whole-of-government biosafety and biosecurity system is in place for human, animal and agriculture facilities","2016","2",NA
"Morocco","P.6.2 Biosafety and biosecurity training and practices","2016","2",NA
"Morocco","P.7.2 National vaccine access and delivery","2016","5",NA
"Morocco","D.1.1 Laboratory testing for detection of priority diseases","2016","4",NA
"Morocco","D.1.2 Specimen referral and transport system","2016","4",NA
"Morocco","D.1.4 Laboratory quality system","2016","3",NA
"Morocco","D.3.1 System for e cient reporting to FAO, OIE and WHO","2016","4",NA
"Morocco","D.3.2 Reporting network and protocols in country","2016","4",NA
"Morocco","D.4.2 FETP1 or other applied epidemiology training programme in place (v1)/ D.4.4 FETP or other applied epidemiology training programme is in place (v2)","2016","3",NA
"Morocco","D.4.3 Workforce strategy (v1)/ D.4.1 An up-to-date multisectoral workforce strategy is in place (v2)","2016","4",NA
"Morocco","R.3.1 Public health and security authorities (e.g. law enforcement, border control, customs) are linked during a suspect or con rmed biological event (v1)/ R.3.1 Public health and security authorities (e.g. law enforcement, border control, customs) linked during a suspect or confirmed biological, chemical or radiological event","2016","4",NA
"Morocco","R.5.2 Internal and partner communication and coordination (v1)/ R.5.2 Internal and partner coordination for emergency risk communication (v2)","2016","4",NA
"Morocco","PoE.1 Routine capacities established at points of entry","2016","3",NA
"Morocco","PoE.2 E ective public health response at points of entry","2016","3",NA
"Somalia","P.4.3 Mechanisms for responding to infectious and potential zoonotic diseases are established and functional (v1) / P.4.2 Mechanisms for responding to infectious and potential zoonotic diseases established and functional (v2)","2016","1",NA
"Somalia","P.6.1 Whole-of-government biosafety and biosecurity system is in place for human, animal and agriculture facilities","2016","1",NA
"Somalia","P.6.2 Biosafety and biosecurity training and practices","2016","1",NA
"Somalia","P.7.2 National vaccine access and delivery","2016","2",NA
"Somalia","D.1.1 Laboratory testing for detection of priority diseases","2016","3",NA
"Somalia","D.1.2 Specimen referral and transport system","2016","2",NA
"Somalia","D.1.4 Laboratory quality system","2016","2",NA
"Somalia","D.3.1 System for e cient reporting to FAO, OIE and WHO","2016","2",NA
"Somalia","D.3.2 Reporting network and protocols in country","2016","1",NA
"Somalia","D.4.2 FETP1 or other applied epidemiology training programme in place (v1)/ D.4.4 FETP or other applied epidemiology training programme is in place (v2)","2016","1",NA
"Somalia","D.4.3 Workforce strategy (v1)/ D.4.1 An up-to-date multisectoral workforce strategy is in place (v2)","2016","2",NA
"Somalia","R.3.1 Public health and security authorities (e.g. law enforcement, border control, customs) are linked during a suspect or con rmed biological event (v1)/ R.3.1 Public health and security authorities (e.g. law enforcement, border control, customs) linked during a suspect or confirmed biological, chemical or radiological event","2016","2",NA
"Somalia","R.5.2 Internal and partner communication and coordination (v1)/ R.5.2 Internal and partner coordination for emergency risk communication (v2)","2016","3",NA
"Somalia","PoE.1 Routine capacities established at points of entry","2016","1",NA
"Somalia","PoE.2 E ective public health response at points of entry","2016","1",NA
"Tanzania","P.4.3 Mechanisms for responding to infectious and potential zoonotic diseases are established and functional (v1) / P.4.2 Mechanisms for responding to infectious and potential zoonotic diseases established and functional (v2)","2016","3",NA
"Tanzania","P.6.1 Whole-of-government biosafety and biosecurity system is in place for human, animal and agriculture facilities","2016","2",NA
"Tanzania","P.6.2 Biosafety and biosecurity training and practices","2016","3",NA
"Tanzania","P.7.2 National vaccine access and delivery","2016","4",NA
"Tanzania","D.1.1 Laboratory testing for detection of priority diseases","2016","3",NA
"Tanzania","D.1.2 Specimen referral and transport system","2016","2",NA
"Tanzania","D.1.4 Laboratory quality system","2016","3",NA
"Tanzania","D.3.1 System for e cient reporting to FAO, OIE and WHO","2016","2",NA
"Tanzania","D.3.2 Reporting network and protocols in country","2016","2",NA
"Tanzania","D.4.2 FETP1 or other applied epidemiology training programme in place (v1)/ D.4.4 FETP or other applied epidemiology training programme is in place (v2)","2016","1",NA
"Tanzania","D.4.3 Workforce strategy (v1)/ D.4.1 An up-to-date multisectoral workforce strategy is in place (v2)","2016","1",NA
"Tanzania","R.3.1 Public health and security authorities (e.g. law enforcement, border control, customs) are linked during a suspect or con rmed biological event (v1)/ R.3.1 Public health and security authorities (e.g. law enforcement, border control, customs) linked during a suspect or confirmed biological, chemical or radiological event","2016","2",NA
"Tanzania","R.5.2 Internal and partner communication and coordination (v1)/ R.5.2 Internal and partner coordination for emergency risk communication (v2)","2016","2",NA
"Tanzania","PoE.1 Routine capacities established at points of entry","2016","2",NA
"Tanzania","PoE.2 E ective public health response at points of entry","2016","2",NA
"Tunisia","P.4.3 Mechanisms for responding to infectious and potential zoonotic diseases are established and functional (v1) / P.4.2 Mechanisms for responding to infectious and potential zoonotic diseases established and functional (v2)","2016","3",NA
"Tunisia","P.6.1 Whole-of-government biosafety and biosecurity system is in place for human, animal and agriculture facilities","2016","2",NA
"Tunisia","P.6.2 Biosafety and biosecurity training and practices","2016","2",NA
"Tunisia","P.7.2 National vaccine access and delivery","2016","5",NA
"Tunisia","D.1.1 Laboratory testing for detection of priority diseases","2016","4",NA
"Tunisia","D.1.2 Specimen referral and transport system","2016","4",NA
"Tunisia","D.1.4 Laboratory quality system","2016","3",NA
"Tunisia","D.3.1 System for e cient reporting to FAO, OIE and WHO","2016","3",NA
"Tunisia","D.3.2 Reporting network and protocols in country","2016","3",NA
"Tunisia","D.4.2 FETP1 or other applied epidemiology training programme in place (v1)/ D.4.4 FETP or other applied epidemiology training programme is in place (v2)","2016","4",NA
"Tunisia","D.4.3 Workforce strategy (v1)/ D.4.1 An up-to-date multisectoral workforce strategy is in place (v2)","2016","3",NA
"Tunisia","R.3.1 Public health and security authorities (e.g. law enforcement, border control, customs) are linked during a suspect or con rmed biological event (v1)/ R.3.1 Public health and security authorities (e.g. law enforcement, border control, customs) linked during a suspect or confirmed biological, chemical or radiological event","2016","4",NA
"Tunisia","R.5.2 Internal and partner communication and coordination (v1)/ R.5.2 Internal and partner coordination for emergency risk communication (v2)","2016","3",NA
"Tunisia","PoE.1 Routine capacities established at points of entry","2016","4",NA
"Tunisia","PoE.2 E ective public health response at points of entry","2016","1",NA
"Sudan","P.4.3 Mechanisms for responding to infectious and potential zoonotic diseases are established and functional (v1) / P.4.2 Mechanisms for responding to infectious and potential zoonotic diseases established and functional (v2)","2016","4",NA
"Sudan","P.6.1 Whole-of-government biosafety and biosecurity system is in place for human, animal and agriculture facilities","2016","2",NA
"Sudan","P.6.2 Biosafety and biosecurity training and practices","2016","2",NA
"Sudan","P.7.2 National vaccine access and delivery","2016","5",NA
"Sudan","D.1.1 Laboratory testing for detection of priority diseases","2016","4",NA
"Sudan","D.1.2 Specimen referral and transport system","2016","3",NA
"Sudan","D.1.4 Laboratory quality system","2016","2",NA
"Sudan","D.3.1 System for e cient reporting to FAO, OIE and WHO","2016","2",NA
"Sudan","D.3.2 Reporting network and protocols in country","2016","3",NA
"Sudan","D.4.2 FETP1 or other applied epidemiology training programme in place (v1)/ D.4.4 FETP or other applied epidemiology training programme is in place (v2)","2016","2",NA
"Sudan","D.4.3 Workforce strategy (v1)/ D.4.1 An up-to-date multisectoral workforce strategy is in place (v2)","2016","2",NA
"Sudan","R.3.1 Public health and security authorities (e.g. law enforcement, border control, customs) are linked during a suspect or con rmed biological event (v1)/ R.3.1 Public health and security authorities (e.g. law enforcement, border control, customs) linked during a suspect or confirmed biological, chemical or radiological event","2016","5",NA
"Sudan","R.5.2 Internal and partner communication and coordination (v1)/ R.5.2 Internal and partner coordination for emergency risk communication (v2)","2016","3",NA
"Sudan","PoE.1 Routine capacities established at points of entry","2016","3",NA
"Sudan","PoE.2 E ective public health response at points of entry","2016","2",NA
"Cabo Verde","P.4.3 Mechanisms for responding to infectious and potential zoonotic diseases are established and functional (v1) / P.4.2 Mechanisms for responding to infectious and potential zoonotic diseases established and functional (v2)","2019","2",NA
"Cabo Verde","P.6.1 Whole-of-government biosafety and biosecurity system is in place for human, animal and agriculture facilities","2019","1",NA
"Cabo Verde","P.6.2 Biosafety and biosecurity training and practices","2019","2",NA
"Cabo Verde","P.7.2 National vaccine access and delivery","2019","5",NA
"Cabo Verde","D.1.1 Laboratory testing for detection of priority diseases","2019","3",NA
"Cabo Verde","D.1.2 Specimen referral and transport system","2019","3",NA
"Cabo Verde","D.1.4 Laboratory quality system","2019","3",NA
"Cabo Verde","D.3.1 System for e cient reporting to FAO, OIE and WHO","2019","3",NA
"Cabo Verde","D.3.2 Reporting network and protocols in country","2019","3",NA
"Cabo Verde","D.4.2 FETP1 or other applied epidemiology training programme in place (v1)/ D.4.4 FETP or other applied epidemiology training programme is in place (v2)","2019","1",NA
"Cabo Verde","D.4.3 Workforce strategy (v1)/ D.4.1 An up-to-date multisectoral workforce strategy is in place (v2)","2019","2",NA
"Cabo Verde","R.3.1 Public health and security authorities (e.g. law enforcement, border control, customs) are linked during a suspect or con rmed biological event (v1)/ R.3.1 Public health and security authorities (e.g. law enforcement, border control, customs) linked during a suspect or confirmed biological, chemical or radiological event","2019","2",NA
"Cabo Verde","R.5.2 Internal and partner communication and coordination (v1)/ R.5.2 Internal and partner coordination for emergency risk communication (v2)","2019","2",NA
"Cabo Verde","PoE.1 Routine capacities established at points of entry","2019","2",NA
"Cabo Verde","PoE.2 E ective public health response at points of entry","2019","1",NA
"Central African Republic","P.4.3 Mechanisms for responding to infectious and potential zoonotic diseases are established and functional (v1) / P.4.2 Mechanisms for responding to infectious and potential zoonotic diseases established and functional (v2)","2019","1",NA
"Central African Republic","P.6.1 Whole-of-government biosafety and biosecurity system is in place for human, animal and agriculture facilities","2019","2",NA
"Central African Republic","P.6.2 Biosafety and biosecurity training and practices","2019","1",NA
"Central African Republic","P.7.2 National vaccine access and delivery","2019","3",NA
"Central African Republic","D.1.1 Laboratory testing for detection of priority diseases","2019","1",NA
"Central African Republic","D.1.2 Specimen referral and transport system","2019","1",NA
"Central African Republic","D.1.4 Laboratory quality system","2019","1",NA
"Central African Republic","D.3.1 System for e cient reporting to FAO, OIE and WHO","2019","2",NA
"Central African Republic","D.3.2 Reporting network and protocols in country","2019","1",NA
"Central African Republic","D.4.2 FETP1 or other applied epidemiology training programme in place (v1)/ D.4.4 FETP or other applied epidemiology training programme is in place (v2)","2019","2",NA
"Central African Republic","D.4.3 Workforce strategy (v1)/ D.4.1 An up-to-date multisectoral workforce strategy is in place (v2)","2019","1",NA
"Central African Republic","R.3.1 Public health and security authorities (e.g. law enforcement, border control, customs) are linked during a suspect or con rmed biological event (v1)/ R.3.1 Public health and security authorities (e.g. law enforcement, border control, customs) linked during a suspect or confirmed biological, chemical or radiological event","2019","1",NA
"Central African Republic","R.5.2 Internal and partner communication and coordination (v1)/ R.5.2 Internal and partner coordination for emergency risk communication (v2)","2019","1",NA
"Central African Republic","PoE.1 Routine capacities established at points of entry","2019","1",NA
"Central African Republic","PoE.2 E ective public health response at points of entry","2019","1",NA
"Congo","P.4.3 Mechanisms for responding to infectious and potential zoonotic diseases are established and functional (v1) / P.4.2 Mechanisms for responding to infectious and potential zoonotic diseases established and functional (v2)","2019","1",NA
"Congo","P.6.1 Whole-of-government biosafety and biosecurity system is in place for human, animal and agriculture facilities","2019","1",NA
"Congo","P.6.2 Biosafety and biosecurity training and practices","2019","2",NA
"Congo","P.7.2 National vaccine access and delivery","2019","4",NA
"Congo","D.1.1 Laboratory testing for detection of priority diseases","2019","1",NA
"Congo","D.1.2 Specimen referral and transport system","2019","1",NA
"Congo","D.1.4 Laboratory quality system","2019","1",NA
"Congo","D.3.1 System for e cient reporting to FAO, OIE and WHO","2019","3",NA
"Congo","D.3.2 Reporting network and protocols in country","2019","2",NA
"Congo","D.4.2 FETP1 or other applied epidemiology training programme in place (v1)/ D.4.4 FETP or other applied epidemiology training programme is in place (v2)","2019","1",NA
"Congo","D.4.3 Workforce strategy (v1)/ D.4.1 An up-to-date multisectoral workforce strategy is in place (v2)","2019","2",NA
"Congo","R.3.1 Public health and security authorities (e.g. law enforcement, border control, customs) are linked during a suspect or con rmed biological event (v1)/ R.3.1 Public health and security authorities (e.g. law enforcement, border control, customs) linked during a suspect or confirmed biological, chemical or radiological event","2019","1",NA
"Congo","R.5.2 Internal and partner communication and coordination (v1)/ R.5.2 Internal and partner coordination for emergency risk communication (v2)","2019","2",NA
"Congo","PoE.1 Routine capacities established at points of entry","2019","1",NA
"Congo","PoE.2 E ective public health response at points of entry","2019","1",NA
"Gabon","P.4.3 Mechanisms for responding to infectious and potential zoonotic diseases are established and functional (v1) / P.4.2 Mechanisms for responding to infectious and potential zoonotic diseases established and functional (v2)","2019","1",NA
"Gabon","P.6.1 Whole-of-government biosafety and biosecurity system is in place for human, animal and agriculture facilities","2019","1",NA
"Gabon","P.6.2 Biosafety and biosecurity training and practices","2019","1",NA
"Gabon","P.7.2 National vaccine access and delivery","2019","2",NA
"Gabon","D.1.1 Laboratory testing for detection of priority diseases","2019","1",NA
"Gabon","D.1.2 Specimen referral and transport system","2019","1",NA
"Gabon","D.1.4 Laboratory quality system","2019","2",NA
"Gabon","D.3.1 System for e cient reporting to FAO, OIE and WHO","2019","3",NA
"Gabon","D.3.2 Reporting network and protocols in country","2019","2",NA
"Gabon","D.4.2 FETP1 or other applied epidemiology training programme in place (v1)/ D.4.4 FETP or other applied epidemiology training programme is in place (v2)","2019","2",NA
"Gabon","D.4.3 Workforce strategy (v1)/ D.4.1 An up-to-date multisectoral workforce strategy is in place (v2)","2019","2",NA
"Gabon","R.3.1 Public health and security authorities (e.g. law enforcement, border control, customs) are linked during a suspect or con rmed biological event (v1)/ R.3.1 Public health and security authorities (e.g. law enforcement, border control, customs) linked during a suspect or confirmed biological, chemical or radiological event","2019","1",NA
"Gabon","R.5.2 Internal and partner communication and coordination (v1)/ R.5.2 Internal and partner coordination for emergency risk communication (v2)","2019","2",NA
"Gabon","PoE.1 Routine capacities established at points of entry","2019","1",NA
"Gabon","PoE.2 E ective public health response at points of entry","2019","1",NA
"Guinea-Bissau","P.4.3 Mechanisms for responding to infectious and potential zoonotic diseases are established and functional (v1) / P.4.2 Mechanisms for responding to infectious and potential zoonotic diseases established and functional (v2)","2019","1",NA
"Guinea-Bissau","P.6.1 Whole-of-government biosafety and biosecurity system is in place for human, animal and agriculture facilities","2019","1",NA
"Guinea-Bissau","P.6.2 Biosafety and biosecurity training and practices","2019","1",NA
"Guinea-Bissau","P.7.2 National vaccine access and delivery","2019","4",NA
"Guinea-Bissau","D.1.1 Laboratory testing for detection of priority diseases","2019","1",NA
"Guinea-Bissau","D.1.2 Specimen referral and transport system","2019","1",NA
"Guinea-Bissau","D.1.4 Laboratory quality system","2019","1",NA
"Guinea-Bissau","D.3.1 System for e cient reporting to FAO, OIE and WHO","2019","2",NA
"Guinea-Bissau","D.3.2 Reporting network and protocols in country","2019","2",NA
"Guinea-Bissau","D.4.2 FETP1 or other applied epidemiology training programme in place (v1)/ D.4.4 FETP or other applied epidemiology training programme is in place (v2)","2019","4",NA
"Guinea-Bissau","D.4.3 Workforce strategy (v1)/ D.4.1 An up-to-date multisectoral workforce strategy is in place (v2)","2019","1",NA
"Guinea-Bissau","R.3.1 Public health and security authorities (e.g. law enforcement, border control, customs) are linked during a suspect or con rmed biological event (v1)/ R.3.1 Public health and security authorities (e.g. law enforcement, border control, customs) linked during a suspect or confirmed biological, chemical or radiological event","2019","1",NA
"Guinea-Bissau","R.5.2 Internal and partner communication and coordination (v1)/ R.5.2 Internal and partner coordination for emergency risk communication (v2)","2019","3",NA
"Guinea-Bissau","PoE.1 Routine capacities established at points of entry","2019","1",NA
"Guinea-Bissau","PoE.2 E ective public health response at points of entry","2019","1",NA
"Malawi","P.4.3 Mechanisms for responding to infectious and potential zoonotic diseases are established and functional (v1) / P.4.2 Mechanisms for responding to infectious and potential zoonotic diseases established and functional (v2)","2019","1",NA
"Malawi","P.6.1 Whole-of-government biosafety and biosecurity system is in place for human, animal and agriculture facilities","2019","1",NA
"Malawi","P.6.2 Biosafety and biosecurity training and practices","2019","1",NA
